INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long
I182070721,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,93,2018,9,Monday,1,Part Two,FANEUIL HALL MARKETPLACE,42.35997967,-71.05474135
I182070720,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,461,2018,9,Monday,1,Part One,BOWDOIN AVE,42.30234412,-71.0763037
I182070719,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,E13,565,2018,9,Monday,0,Part Two,AMERICAN LEGION HWY,42.28929101,-71.10358494
I182070719,3410,Towed,TOWED MOTOR VEHICLE,E13,565,2018,9,Monday,0,Part Three,AMERICAN LEGION HWY,42.28929101,-71.10358494
I182070716,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,A7,902,2018,9,Monday,0,Part Three,SUMNER ST,42.36865862,-71.03924873
I182070715,3114,Investigate Property,INVESTIGATE PROPERTY,D4,157,2018,9,Monday,1,Part Three,SHAWMUT AVE,42.33953776,-71.07472432
I182070714,3301,Verbal Disputes,VERBAL DISPUTE,C11,398,2018,9,Sunday,0,Part Three,TALBOT AVE,42.28935481,-71.06767297
I182070712,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,366,2018,9,Sunday,23,Part Two,DAWSON ST,42.28984188,-71.05843518
I182070710,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,352,2018,9,Sunday,23,Part Two,DITSON ST,42.30108481,-71.06390782
I182070708,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,166,2018,9,Monday,0,Part Two,SHAWMUT AVE,42.34107714,-71.0723957
I182070707,619,Larceny,LARCENY ALL OTHERS,D14,782,2018,9,Sunday,23,Part One,GORDON ST,42.35293536,-71.14050052
I182070706,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,402,2018,9,Sunday,23,Part One,BURT ST,42.28413536,-71.06957385
I182070706,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,C11,402,2018,9,Sunday,23,Part Two,BURT ST,42.28413536,-71.06957385
I182070703,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A1,128,2018,9,Sunday,23,Part Three,COLUMBUS AVE,42.34944475,-71.07072461
I182070702,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,624,2018,9,Sunday,23,Part Two,JERSEY ST,42.34412622,-71.09760878
I182070701,1402,Vandalism,VANDALISM,C11,254,2018,9,Sunday,23,Part Two,DORCHESTER AVE,42.30782846,-71.05837474
I182070699,613,Larceny,LARCENY SHOPLIFTING,C6,186,2018,9,Sunday,22,Part One,ALLSTATE RD,42.32809966,-71.06321676
I182070698,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,244,2018,9,Sunday,23,Part Two,TAFT ST,42.3173029,-71.05793388
I182070696,619,Larceny,LARCENY ALL OTHERS,D4,623,2018,9,Sunday,22,Part One,COMMONWEALTH AVE,42.34877575,-71.09606805
I182070695,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,519,2018,9,Sunday,22,Part Three,HARVARD AVE,42.25874573,-71.12243682
I182070694,3115,Investigate Person,INVESTIGATE PERSON,E18,482,2018,9,Sunday,22,Part Three,MALTA ST,42.26506676,-71.09768522
I182070693,3114,Investigate Property,INVESTIGATE PROPERTY,B3,425,2018,9,Sunday,22,Part Three,BLUE HILL AVE,42.27219089,-71.09351043
I182070691,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,20,2018,9,Sunday,22,Part Three,CHELSEA ST,42.37638326,-71.03124103
I182070690,3114,Investigate Property,INVESTIGATE PROPERTY,B3,421,2018,9,Sunday,22,Part Three,W SELDEN ST,42.27376816,-71.08919673
I182070689,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,572,2018,9,Sunday,21,Part One,COLUMBUS AVE,42.31501293,-71.0975669
I182070688,2405,Disorderly Conduct,DISORDERLY CONDUCT,A1,117,2018,9,Sunday,22,Part Two,BOYLSTON ST,42.3523119,-71.0637051
I182070688,2610,Other,TRESPASSING,A1,117,2018,9,Sunday,22,Part Two,BOYLSTON ST,42.3523119,-71.0637051
I182070686,3301,Verbal Disputes,VERBAL DISPUTE,B2,586,2018,9,Sunday,22,Part Three,HILLSIDE ST,42.33013124,-71.10138008
I182070685,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,348,2018,9,Sunday,22,Part One,DORCHESTER AVE,42.30396336,-71.05924636
I182070683,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,639,2018,9,Sunday,21,Part Three,ROBINWOOD AVE,42.31668732,-71.11261214
I182070682,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A1,113,2018,9,Sunday,21,Part Three,SUMMER ST,42.35332464,-71.05727637
I182070681,3115,Investigate Person,INVESTIGATE PERSON,B2,304,2018,9,Sunday,22,Part Three,SLAYTON WAY,42.32177032,-71.09779774
I182070680,1402,Vandalism,VANDALISM,C6,232,2018,9,Sunday,21,Part Two,P ST,42.33292583,-71.02709025
I182070680,2648,Bomb Hoax,BOMB THREAT,C6,232,2018,9,Sunday,21,Part Two,P ST,42.33292583,-71.02709025
I182070679,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",C11,379,2018,9,Sunday,21,Part Three,ADAMS ST,42.28523455,-71.05509673
I182070675,3115,Investigate Person,INVESTIGATE PERSON,D4,138,2018,9,Sunday,22,Part Three,BOYLSTON ST,42.34901954,-71.08130134
I182070672,3501,Missing Person Reported,MISSING PERSON,C11,335,2018,9,Sunday,20,Part Three,COLEMAN ST,42.30776342,-71.06683062
I182070671,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,235,2018,9,Sunday,21,Part Three,CARSON ST,42.3197573,-71.05428941
I182070668,423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,291,2018,9,Sunday,21,Part One,CENTRE ST,42.32955354,-71.09357444
I182070668,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,291,2018,9,Sunday,21,Part Two,CENTRE ST,42.32955354,-71.09357444
I182070667,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E18,490,2018,9,Sunday,20,Part Two,AMERICAN LEGION HWY,42.27531312,-71.11587798
I182070666,2647,Other,THREATS TO DO BODILY HARM,C6,222,2018,9,Sunday,21,Part Two,E BROADWAY,42.33561661,-71.03641895
I182070665,3207,Property Found,PROPERTY - FOUND,D14,778,2018,9,Sunday,21,Part Three,WASHINGTON ST,42.349056,-71.1504985
I182070663,613,Larceny,LARCENY SHOPLIFTING,B3,428,2018,9,Sunday,21,Part One,MORTON ST,42.28187061,-71.08751152
I182070662,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,359,2018,9,Sunday,20,Part Two,WASHINGTON ST,42.29417346,-71.07193797
I182070659,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,B3,441,2018,9,Sunday,20,Part Three,TALBOT AVE,42.29389648,-71.08451577
I182070657,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B2,311,2018,9,Sunday,20,Part Three,MARTIN LUTHER KING JR BLV,42.31791574,-71.0821563
I182070656,3301,Verbal Disputes,VERBAL DISPUTE,B3,448,2018,9,Sunday,20,Part Three,PARK ST,42.29482381,-71.07603424
I182070655,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,D14,777,2018,9,Sunday,18,Part Three,WASHINGTON ST,42.34724186,-71.14870339
I182070653,3301,Verbal Disputes,VERBAL DISPUTE,E18,530,2018,9,Sunday,20,Part Three,READVILLE ST,42.24077498,-71.13536804
I182070652,1402,Vandalism,VANDALISM,E13,906,2018,9,Sunday,20,Part Two,HORAN WAY,42.32547536,-71.10253482
I182070649,613,Larceny,LARCENY SHOPLIFTING,C11,247,2018,9,Sunday,19,Part One,DORCHESTER AVE,42.31322413,-71.05715277
I182070648,670,License Plate Related Incidents,RECOVERED STOLEN PLATE,A1,127,2018,9,Sunday,19,Other,TREMONT ST,42.34868544,-71.06608848
I182070647,615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,A1,127,2018,8,Tuesday,20,Part One,TREMONT ST,42.34868544,-71.06608848
I182070645,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,102,2018,9,Sunday,20,Part Two,TREMONT ST,42.356585,-71.06189505
I182070642,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,C6,206,2018,9,Sunday,20,Part Three,SEAPORT BLVD,42.35311458,-71.04842121
I182070641,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,319,2018,9,Sunday,19,Part Three,NAZING CT,42.3075244,-71.08720471
I182070640,3301,Verbal Disputes,VERBAL DISPUTE,C6,185,2018,9,Sunday,19,Part Three,MASSACHUSETTS AVE,42.32198656,-71.06280666
I182070639,3201,Property Lost,PROPERTY - LOST,D14,796,2018,8,Friday,22,Part Three,LINDEN ST,42.35179211,-71.13023989
I182070638,1504,Other,WEAPON - OTHER - OTHER VIOLATION,D4,624,2018,9,Sunday,19,Part Two,BROOKLINE AVE,42.34717072,-71.09855075
I182070638,423,Aggravated Assault,ASSAULT - AGGRAVATED,D4,624,2018,9,Sunday,19,Part One,BROOKLINE AVE,42.34717072,-71.09855075
I182070638,2405,Disorderly Conduct,DISORDERLY CONDUCT,D4,624,2018,9,Sunday,19,Part Two,BROOKLINE AVE,42.34717072,-71.09855075
I182070637,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,335,2018,9,Sunday,19,Part Three,BARRY ST,42.30870401,-71.06844484
I182070636,2629,Harassment,HARASSMENT,C6,223,2018,9,Sunday,19,Part Two,O ST,42.33783948,-71.02929361
I182070634,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,266,2018,8,Friday,20,Part Three,FAIRLAND ST,42.32522448,-71.07821131
I182070631,1830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,A7,27,2018,9,Sunday,18,Part Two,SUMNER ST,42.36967378,-71.04155054
I182070629,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,315,2018,9,Sunday,19,Part Three,WAUMBECK ST,42.3140129,-71.08635277
I182070626,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,794,2018,9,Saturday,16,Part One,GLENVILLE AVE,42.3502537,-71.13336819
I182070625,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,268,2018,9,Sunday,18,Part One,ADAMS ST,42.32851529,-71.07653709
I182070625,1402,Vandalism,VANDALISM,B2,268,2018,9,Sunday,18,Part Two,ADAMS ST,42.32851529,-71.07653709
I182070623,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",C11,361,2018,9,Sunday,18,Part Three,CENTRE ST,42.29339151,-71.062944
I182070622,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,D4,627,2018,9,Sunday,18,Part Three,BOYLSTON ST,42.34442266,-71.09833083
I182070621,361,Robbery,ROBBERY - OTHER,A7,23,2018,9,Sunday,18,Part One,MARION ST,42.37725644,-71.03667354
I182070620,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,447,2018,9,Sunday,18,Part Three,MILLET ST,42.29528529,-71.07740522
I182070619,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,157,2018,9,Sunday,18,Part Two,SAN JUAN ST,42.34070886,-71.07473698
I182070619,2006,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W ARREST,D4,157,2018,9,Sunday,18,Part Two,SAN JUAN ST,42.34070886,-71.07473698
I182070618,801,Simple Assault,ASSAULT - SIMPLE,E13,906,2018,9,Sunday,18,Part Two,WALDEN ST,42.32561013,-71.10449956
I182070617,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,583,2018,9,Sunday,17,Part Three,DAY ST,42.32537833,-71.10765077
I182070616,3114,Investigate Property,INVESTIGATE PROPERTY,B3,437,2018,9,Sunday,18,Part Three,NORFOLK ST,42.2874272,-71.07853773
I182070615,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,E18,519,2018,9,Sunday,18,Part Two,SECOND NEW WAY,42.25378838,-71.11950948
I182070615,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",E18,519,2018,9,Sunday,18,Part Two,SECOND NEW WAY,42.25378838,-71.11950948
I182070615,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,E18,519,2018,9,Sunday,18,Part Two,SECOND NEW WAY,42.25378838,-71.11950948
I182070614,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,180,2018,9,Sunday,17,Part Three,GEORGE ST,42.32688327,-71.07390946
I182070613,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,297,2018,9,Sunday,18,Part Three,WALNUT AVE,42.32217348,-71.08506711
I182070611,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,495,2018,9,Sunday,17,Part Three,HYDE PARK AVE,42.26496475,-71.12123167
I182070610,724,Auto Theft,AUTO THEFT,B3,449,2018,9,Sunday,18,Part One,SPENCER ST,42.29293522,-71.07575826
I182070609,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,80,2018,9,Sunday,3,Part Three,HULL ST,42.36644912,-71.0548399
I182070607,619,Larceny,LARCENY ALL OTHERS,E18,519,2018,8,Friday,0,Part One,WALTER ST,42.25667872,-71.11853971
I182070606,1402,Vandalism,VANDALISM,C11,416,2018,9,Sunday,16,Part Two,WASHINGTON ST,42.28164735,-71.07111848
I182070605,3410,Towed,TOWED MOTOR VEHICLE,D14,793,2018,9,Sunday,17,Part Three,COMMONWEALTH AVE,42.34888872,-71.1335453
I182070603,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,351,2018,9,Sunday,17,Part Two,DORCHESTER AVE,42.29919694,-71.06046974
I182070602,616,Larceny,LARCENY THEFT OF BICYCLE,A1,103,2018,9,Sunday,16,Part One,WASHINGTON ST,42.35680075,-71.05893025
I182070601,3114,Investigate Property,INVESTIGATE PROPERTY,E18,516,2018,9,Sunday,17,Part Three,DANA AVE,42.24725578,-71.11958581
I182070600,3114,Investigate Property,INVESTIGATE PROPERTY,B2,319,2018,9,Sunday,16,Part Three,BLUE HILL AVE,42.30803768,-71.08359213
I182070599,3114,Investigate Property,INVESTIGATE PROPERTY,E13,578,2018,9,Sunday,16,Part Three,CENTRE ST,42.32088524,-71.11058918
I182070598,311,Robbery,ROBBERY - COMMERCIAL,A15,60,2018,9,Sunday,17,Part One,RUTHERFORD AVE,42.37167264,-71.06326413
I182070597,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,282,2018,9,Sunday,17,Part Three,WASHINGTON ST,42.32866284,-71.08563401
I182070596,619,Larceny,LARCENY ALL OTHERS,C6,216,2018,9,Sunday,17,Part One,F ST,42.33382906,-71.05128729
I182070595,2647,Other,THREATS TO DO BODILY HARM,B3,439,2018,9,Sunday,17,Part Two,STRATTON ST,42.29017432,-71.08808525
I182070595,3301,Verbal Disputes,VERBAL DISPUTE,B3,439,2018,9,Sunday,17,Part Three,STRATTON ST,42.29017432,-71.08808525
I182070594,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,364,2018,9,Sunday,5,Part Three,LESLIE ST,42.29514664,-71.05860832
I182070593,1402,Vandalism,VANDALISM,E13,572,2018,9,Saturday,14,Part Two,COLUMBUS AVE,42.31362799,-71.09560307
I182070592,1402,Vandalism,VANDALISM,B3,441,2018,9,Sunday,17,Part Two,HARVARD ST,42.29629726,-71.08115283
I182070589,3115,Investigate Person,INVESTIGATE PERSON,C11,342,2018,9,Sunday,16,Part Three,TOPLIFF ST,42.30336787,-71.06827221
I182070588,3114,Investigate Property,INVESTIGATE PROPERTY,D4,619,2018,9,Saturday,14,Part Three,SYMPHONY RD,42.34295335,-71.08833139
I182070587,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A15,38,2018,9,Sunday,11,Part Three,FIRST AVE,42.37749764,-71.05031219
I182070586,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,542,2018,9,Sunday,16,Part Three,RIVER ST,42.25387435,-71.12912445
I182070585,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,318,2018,9,Sunday,16,Part Three,ELM HILL AVE,42.30973269,-71.08734852
I182070584,3201,Property Lost,PROPERTY - LOST,B2,329,2018,9,Sunday,0,Part Three,STANWOOD ST,42.30994883,-71.08146033
I182070583,613,Larceny,LARCENY SHOPLIFTING,D4,138,2018,9,Saturday,14,Part One,BOYLSTON ST,42.34862382,-71.08277637
I182070581,3115,Investigate Person,INVESTIGATE PERSON,A1,77,2018,9,Sunday,16,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489
I182070580,617,Larceny,LARCENY THEFT FROM BUILDING,C11,337,2018,8,Saturday,9,Part One,PURITAN AVE,42.30736306,-71.07165237
I182070576,3301,Verbal Disputes,VERBAL DISPUTE,B3,469,2018,9,Sunday,14,Part Three,MATTAPAN ST,42.27732507,-71.09483139
I182070575,3410,Towed,TOWED MOTOR VEHICLE,D14,816,2018,9,Sunday,14,Part Three,ROYAL ST,42.3575106,-71.12996479
I182070572,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,354,2018,9,Sunday,14,Part Three,NEPONSET AVE,42.29668913,-71.05555843
I182070571,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,317,2018,9,Sunday,14,Part One,HOMESTEAD ST,42.31014403,-71.08759179
I182070570,3301,Verbal Disputes,VERBAL DISPUTE,C11,394,2018,9,Sunday,14,Part Three,GALLIVAN BLVD,42.28158633,-71.06033424
I182070569,1001,Counterfeiting,FORGERY / COUNTERFEITING,C11,402,2018,9,Sunday,14,Part Two,DORCHESTER AVE,42.28526024,-71.06444063
I182070568,2647,Other,THREATS TO DO BODILY HARM,E18,496,2018,9,Sunday,15,Part Two,HYDE PARK AVE,42.26701085,-71.12096171
I182070566,613,Larceny,LARCENY SHOPLIFTING,D4,146,2018,9,Sunday,14,Part One,HUNTINGTON AVE,42.3479724,-71.07849582
I182070565,1830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,B3,467,2018,9,Sunday,14,Part Two,GILMER ST,42.28281074,-71.09722321
I182070564,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,D4,598,2018,9,Sunday,14,Part Three,HAVILAND ST,42.34662361,-71.08740594
I182070563,706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,D4,135,2018,9,Saturday,23,Part One,BEACON ST,42.35275712,-71.08240215
I182070562,3410,Towed,TOWED MOTOR VEHICLE,C6,200,2018,9,Sunday,13,Part Three,W BROADWAY,42.34274131,-71.05735681
I182070561,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,438,2018,9,Sunday,13,Part Three,TALBOT AVE,42.29138891,-71.07599527
I182070560,3201,Property Lost,PROPERTY - LOST,C11,341,2018,9,Saturday,18,Part Three,BOWDOIN ST,42.30573977,-71.06762362
I182070559,3810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING  BICYCLE - INJURY,E13,608,2018,9,Sunday,11,Part Three,S HUNTINGTON AVE,42.33041036,-71.11148382
I182070558,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,281,2018,9,Sunday,13,Part Two,GREENVILLE ST,42.32696802,-71.08051941
I182070557,2647,Other,THREATS TO DO BODILY HARM,E13,579,2018,9,Sunday,13,Part Two,CENTRE ST,42.32277007,-71.10445458
I182070556,2401,Disorderly Conduct,AFFRAY,A1,101,2018,9,Sunday,13,Part Two,MCKINLEY SQ,42.35934139,-71.05333104
I182070556,2405,Disorderly Conduct,DISORDERLY CONDUCT,A1,101,2018,9,Sunday,13,Part Two,MCKINLEY SQ,42.35934139,-71.05333104
I182070555,3501,Missing Person Reported,MISSING PERSON,C11,348,2018,9,Sunday,12,Part Three,DORCHESTER AVE,42.30420472,-71.05919227
I182070554,2629,Harassment,HARASSMENT,D14,938,2018,6,Friday,0,Part Two,FIDELIS WAY,42.34600287,-71.14387725
I182070553,613,Larceny,LARCENY SHOPLIFTING,A1,102,2018,9,Sunday,13,Part One,WINTER ST,42.35554806,-71.0607314
I182070552,1402,Vandalism,VANDALISM,B2,318,2018,9,Saturday,23,Part Two,SEAVER ST,42.30878855,-71.09055618
I182070551,3501,Missing Person Reported,MISSING PERSON,C11,345,2018,9,Sunday,12,Part Three,RIDGEWOOD ST,42.30209443,-71.06575183
I182070550,3301,Verbal Disputes,VERBAL DISPUTE,C11,358,2018,9,Sunday,12,Part Three,GREENBRIER ST,42.29642169,-71.07045327
I182070549,301,Robbery,ROBBERY - STREET,B2,282,2018,9,Sunday,7,Part One,WARREN ST,42.32823419,-71.08328981
I182070549,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,282,2018,9,Sunday,7,Part One,WARREN ST,42.32823419,-71.08328981
I182070548,2403,Disorderly Conduct,DISTURBING THE PEACE,C11,335,2018,9,Sunday,12,Part Two,BOWDOIN ST,42.3078312,-71.06529544
I182070547,3301,Verbal Disputes,VERBAL DISPUTE,A7,12,2018,9,Sunday,12,Part Three,BENNINGTON ST,42.38512136,-71.01150101
I182070546,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,347,2018,9,Sunday,12,Part One,ADAMS ST,42.30569111,-71.06164783
I182070545,3201,Property Lost,PROPERTY - LOST,D4,144,2018,8,Wednesday,17,Part Three,MASSACHUSETTS AVE,42.34439568,-71.08632016
I182070543,616,Larceny,LARCENY THEFT OF BICYCLE,C11,398,2018,8,Friday,23,Part One,WELLES AVE,42.28854881,-71.06894162
I182070542,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,D14,796,2018,9,Sunday,13,Part Three,COMMONWEALTH AVE,42.35053956,-71.13106722
I182070541,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,445,2018,9,Sunday,12,Part Three,GLENWAY ST,42.2991897,-71.08150445
I182070540,2646,Liquor Violation,LIQUOR - DRINKING IN PUBLIC,B2,288,2018,9,Sunday,13,Part Two,WASHINGTON ST,42.32866284,-71.08563401
I182070539,3201,Property Lost,PROPERTY - LOST,B3,565,2018,9,Sunday,12,Part Three,HARVARD ST,42.28968115,-71.09212545
I182070538,3115,Investigate Person,INVESTIGATE PERSON,E18,487,2018,9,Sunday,11,Part Three,BLAKE ST,42.26448463,-71.10697097
I182070537,3201,Property Lost,PROPERTY - LOST,E18,487,2018,9,Sunday,12,Part Three,WINBOROUGH ST,42.26548267,-71.10516125
I182070536,1402,Vandalism,VANDALISM,C6,214,2018,7,Monday,12,Part Two,W FIFTH ST,42.3359851,-71.05008287
I182070534,3001,Medical Assistance,DEATH INVESTIGATION,C11,366,2018,9,Sunday,12,Part Three,TEMPLETON WAY,42.29004265,-71.05725661
I182070532,613,Larceny,LARCENY SHOPLIFTING,E5,727,2018,9,Sunday,11,Part One,VFW PKWY,42.2802082,-71.17087959
I182070531,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,814,2018,9,Sunday,11,Part Three,WESTERN AVE,42.36330598,-71.12841637
I182070530,3115,Investigate Person,INVESTIGATE PERSON,C11,378,2018,9,Sunday,12,Part Three,PIERCE AVE,42.28743256,-71.0526387
I182070529,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,A15,52,2018,9,Sunday,11,Part Three,RUTHERFORD AVE,42.38025398,-71.07113638
I182070528,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,D4,162,2018,9,Sunday,11,Part Three,HARRISON AVE,42.34493428,-71.06366374
I182070527,3301,Verbal Disputes,VERBAL DISPUTE,B2,326,2018,9,Sunday,11,Part Three,LAWRENCE AVE,42.31286677,-71.07841587
I182070526,3821,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,C6,226,2018,9,Sunday,12,Part Three,E BROADWAY,42.33556114,-71.03993118
I182070525,619,Larceny,LARCENY ALL OTHERS,C11,397,2018,9,Sunday,11,Part One,TALBOT AVE,42.28863812,-71.06631579
I182070524,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,276,2018,9,Sunday,2,Part Three,WILLIAMS ST,42.33237733,-71.08237779
I182070522,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,724,2018,9,Sunday,11,Part Three,LAURIE AVE,42.27033908,-71.16975904
I182070521,613,Larceny,LARCENY SHOPLIFTING,E18,525,2018,9,Sunday,10,Part One,TRUMAN PKWY,42.24124926,-71.12629908
I182070520,613,Larceny,LARCENY SHOPLIFTING,E18,495,2018,9,Sunday,10,Part One,HYDE PARK AVE,42.26496475,-71.12123167
I182070518,613,Larceny,LARCENY SHOPLIFTING,D4,138,2018,9,Saturday,20,Part One,BOYLSTON ST,42.34862382,-71.08277637
I182070516,2647,Other,THREATS TO DO BODILY HARM,A1,76,2018,9,Sunday,11,Part Two,CANAL ST,42.36394509,-71.05942841
I182070515,3114,Investigate Property,INVESTIGATE PROPERTY,A7,824,2018,9,Sunday,11,Part Three,PUTNAM ST,42.37916578,-71.03258617
I182070514,3201,Property Lost,PROPERTY - LOST,D14,796,2018,9,Saturday,21,Part Three,HARVARD AVE,42.35204779,-71.13180684
I182070513,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,605,2018,8,Friday,22,Part Three,HUNTINGTON AVE,42.33332888,-71.10659534
I182070512,3201,Property Lost,PROPERTY - LOST,C11,380,2018,9,Sunday,11,Part Three,GALLIVAN BLVD,42.28370031,-71.04776143
I182070511,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,344,2018,9,Sunday,10,Part Three,CORONA ST,42.30097791,-71.07077333
I182070509,3410,Towed,TOWED MOTOR VEHICLE,C11,240,2018,9,Sunday,9,Part Three,ANNABEL ST,42.31828902,-71.06265046
I182070508,1402,Vandalism,VANDALISM,E18,543,2018,9,Sunday,9,Part Two,RIVER ST,42.25519156,-71.12761721
I182070506,3115,Investigate Person,INVESTIGATE PERSON,A1,95,2018,9,Saturday,14,Part Three,ATLANTIC AVE,42.36033276,-71.0521729
I182070505,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,235,2018,9,Saturday,9,Part Three,CRESCENT AVE,42.31895064,-71.05449231
I182070504,3115,Investigate Person,INVESTIGATE PERSON,D14,778,2018,9,Sunday,9,Part Three,WASHINGTON ST,42.349056,-71.1504985
I182070503,3410,Towed,TOWED MOTOR VEHICLE,D4,285,2018,9,Sunday,7,Part Three,HAMMOND ST,42.33651082,-71.08339215
I182070500,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,378,2018,9,Sunday,0,Part Three,CHICKATAWBUT ST,42.28665631,-71.04640009
I182070499,619,Larceny,LARCENY ALL OTHERS,C6,186,2018,9,Sunday,9,Part One,ALLSTATE RD,42.32809966,-71.06321676
